config_id,output,rmse,nrmse,r2,mae
POLY-1,v_out_mean,2.189551488557994,0.05023292140861446,0.943244557278603,1.6950424873803775
POLY-1,i_l_mean,1.911873118628937,0.09913323889243679,0.6248005182893381,1.2597552627335915
POLY-1,v_out_ripple,0.14165058234147568,0.09845080102985983,0.5296960367832932,0.09144757967745937
POLY-1,i_l_ripple,0.7938933094355111,0.09900650956760423,0.6865025697732152,0.5786455677641738
POLY-1,efficiency,0.01899537160139539,0.11578646674975333,0.5521333349532664,0.012161423353238759
POLY-2,v_out_mean,0.6127085477922694,0.014056824189097006,0.9955556825799442,0.435216892769428
POLY-2,i_l_mean,1.2206278095756873,0.06329122318127194,0.8470636868514574,0.8095081136781878
POLY-2,v_out_ripple,0.09313208202502482,0.0647291943695569,0.7966985229629199,0.05845931392583438
POLY-2,i_l_ripple,0.539985947963402,0.06734169854816392,0.8549643992941799,0.35202427046340223
POLY-2,efficiency,0.011528703979867777,0.07027332384140622,0.8350265232679207,0.007990074907172136
GP-SE,v_out_mean,0.13009307068672252,0.00298460896204605,0.9997996425384691,0.05991784224602
GP-SE,i_l_mean,0.13273453481348768,0.0068824673670699645,0.9981915272879894,0.06129036422568456
GP-SE,v_out_ripple,0.029622112420778883,0.020588130650899095,0.9794328572870958,0.01565840145350451
GP-SE,i_l_ripple,0.02023901791312858,0.0025240098346210453,0.9997962542441248,0.010443983903254675
GP-SE,efficiency,0.0008944436018665588,0.005452089411056541,0.9990069775327005,0.0004574505553251218
NN-M,v_out_mean,0.824048106999633,0.018905398668241317,0.9919609945480073,0.5405164662132461
NN-M,i_l_mean,1.1384645297135931,0.0590309446243998,0.8669597341012504,0.4006655285482401
NN-M,v_out_ripple,0.07115092530606289,0.04945172462130127,0.8813403631941467,0.03335639497749489
NN-M,i_l_ripple,0.329238098097628,0.04105931429564529,0.9460824847479512,0.17652284542430074
NN-M,efficiency,0.009974382460131652,0.060798942358385774,0.8765118783432475,0.0036461179697140746
