config_id,output,rmse,nrmse,r2,mae
POLY-1,v_out_mean,2.189551488557994,0.05023292140861446,0.943244557278603,1.6950424873803775
POLY-1,i_l_mean,1.911873118628937,0.09913323889243679,0.6248005182893381,1.2597552627335915
POLY-1,v_out_ripple,0.14165058234147568,0.09845080102985983,0.5296960367832932,0.09144757967745937
POLY-1,i_l_ripple,0.7938933094355111,0.09900650956760423,0.6865025697732152,0.5786455677641738
POLY-1,efficiency,0.01899537160139539,0.11578646674975333,0.5521333349532664,0.012161423353238759
POLY-2,v_out_mean,0.6127085477922694,0.014056824189097006,0.9955556825799442,0.435216892769428
POLY-2,i_l_mean,1.2206278095756873,0.06329122318127194,0.8470636868514574,0.8095081136781878
POLY-2,v_out_ripple,0.09313208202502482,0.0647291943695569,0.7966985229629199,0.05845931392583438
POLY-2,i_l_ripple,0.539985947963402,0.06734169854816392,0.8549643992941799,0.35202427046340223
POLY-2,efficiency,0.011528703979867777,0.07027332384140622,0.8350265232679207,0.007990074907172136
POLY-3,v_out_mean,0.33791995629989624,0.007752595312748006,0.9986481613103957,0.23457425918102398
POLY-3,i_l_mean,0.7966927616423353,0.04130961050407095,0.9348482870332284,0.5368911851285947
POLY-3,v_out_ripple,0.08056175923355428,0.05599249645015966,0.847875279717038,0.04825910714471248
POLY-3,i_l_ripple,0.3109070912897773,0.03877325270609021,0.9519192806344186,0.1982077907073473
POLY-3,efficiency,0.0066770922849808565,0.04070027899760475,0.9446614330564758,0.004713990831483127
POLY-4,v_out_mean,0.7852170852435308,0.018014533267594758,0.992700776321471,0.3513234626958127
POLY-4,i_l_mean,1.123413774005359,0.05825054233378855,0.8704541262212085,0.671923880482882
POLY-4,v_out_ripple,0.10717123825084747,0.0744867693358469,0.7307855250431272,0.0695083065968573
POLY-4,i_l_ripple,0.4344299413439016,0.054177798997577534,0.9061251619877013,0.22942355853336027
POLY-4,efficiency,0.015295446858669334,0.09323354058489905,0.7096127861121885,0.007202685708527928
POLY-3-Ridge,v_out_mean,0.9138742095169897,0.02096619859543015,0.9901128748009352,0.5676158348447947
POLY-3-Ridge,i_l_mean,0.8007590817689705,0.04152045477014648,0.9341815210473923,0.5192716692614189
POLY-3-Ridge,v_out_ripple,0.08142794795370405,0.05659451990768557,0.8445864464692768,0.04829523420031283
POLY-3-Ridge,i_l_ripple,0.34291071544919943,0.04276442769633016,0.9415113208053595,0.20367406440364733
POLY-3-Ridge,efficiency,0.006788435090587918,0.04137897011930406,0.9428004660283208,0.004683845411956228
POLY-4-Ridge,v_out_mean,1.626068203543882,0.03730542839504605,0.9686978112185903,1.106866840332547
POLY-4-Ridge,i_l_mean,0.526382724608233,0.02729366498173323,0.9715588370058423,0.35364776997672054
POLY-4-Ridge,v_out_ripple,0.06320437184802286,0.043928665411529344,0.9063654454162505,0.036297791445760196
POLY-4-Ridge,i_l_ripple,0.19318090621992412,0.02409160905202844,0.9814374302126312,0.12545990857353748
POLY-4-Ridge,efficiency,0.004431690998439279,0.02701341427815376,0.975622335610068,0.0029091396190286055
