config_id,output,rmse,nrmse,r2,mae
NN-M,v_out_mean,0.824048106999633,0.018905398668241317,0.9919609945480073,0.5405164662132461
NN-M,i_l_mean,1.1384645297135931,0.0590309446243998,0.8669597341012504,0.4006655285482401
NN-M,v_out_ripple,0.07115092530606289,0.04945172462130127,0.8813403631941467,0.03335639497749489
NN-M,i_l_ripple,0.329238098097628,0.04105931429564529,0.9460824847479512,0.17652284542430074
NN-M,efficiency,0.009974382460131652,0.060798942358385774,0.8765118783432475,0.0036461179697140746
NN-S,v_out_mean,1.0891563177615877,0.02498753922788358,0.9859564268400445,0.6949323268667541
NN-S,i_l_mean,1.0340992867126972,0.053619463880377145,0.8902338143102487,0.3400704296838335
NN-S,v_out_ripple,0.07012802551400286,0.04874078293481517,0.8847276538283565,0.03119980140764245
NN-S,i_l_ripple,0.31948867567504907,0.03984346290492629,0.9492284245742814,0.14957107041217743
NN-S,efficiency,0.01079362984370979,0.06579267251165766,0.8553933745290067,0.004707190264903217
NN-L,v_out_mean,1.1454574874262158,0.02627920660622823,0.9844670071667436,0.6414878821536533
NN-L,i_l_mean,1.32822047841317,0.06887005037383685,0.8189141818439747,0.4359480269725251
NN-L,v_out_ripple,0.07858196893232519,0.05461649122797654,0.8552602819354443,0.027709821751478344
NN-L,i_l_ripple,0.5043116477076851,0.062892753195423,0.8734949976401245,0.22175178115893246
NN-L,efficiency,0.011401589782582766,0.06949849805298725,0.8386444255183941,0.003925432944590853
NN-M-tanh,v_out_mean,0.7879557546676043,0.018077364110652146,0.9926497712636624,0.3953908910035904
NN-M-tanh,i_l_mean,0.8093798946948091,0.041967455723764695,0.9327567152295528,0.2456882635484135
NN-M-tanh,v_out_ripple,0.06305796115850111,0.04382690621347676,0.9067987452332493,0.024663901644126063
NN-M-tanh,i_l_ripple,0.13716443539954465,0.017105789687755498,0.9906417909674581,0.06749039640023347
NN-M-tanh,efficiency,0.0074915863351478875,0.045665035162238514,0.9303372317204467,0.0027827305155294067
NN-M-wd,v_out_mean,0.7925295424158818,0.01818229643204287,0.9925641929630902,0.4989088927124067
NN-M-wd,i_l_mean,1.109315533820892,0.0575195292772464,0.8736851866031263,0.37684513680694687
NN-M-wd,v_out_ripple,0.07022564272002227,0.04880862940581478,0.8844065155676919,0.03166905757178052
NN-M-wd,i_l_ripple,0.33861095404363273,0.04222820404552077,0.9429689052593891,0.17999397699750372
NN-M-wd,efficiency,0.009732793233077098,0.05932633294634374,0.8824214377620316,0.0034734976087588453
