config_id,N,output,nrmse,rmse,r2
POLY-1,20,v_out_mean,0.09740980926381566,2.8861245451312296,0.8214311066159575
POLY-1,20,i_l_mean,0.16029191460871234,1.9257569683266476,0.6332785803604821
POLY-1,20,v_out_ripple,0.17028033526747338,0.15660351044849571,0.514596401533497
POLY-1,20,i_l_ripple,0.1801760677488078,1.2825700818072794,0.35561504921845943
POLY-1,20,efficiency,0.173992567644799,0.026252512861208843,0.3934858273378591
POLY-1,40,v_out_mean,0.05772847029984918,2.1202250615832092,0.9370814990500609
POLY-1,40,i_l_mean,0.12197725251247075,1.516954647082049,0.7268316079729517
POLY-1,40,v_out_ripple,0.14198590474690073,0.13058167334850065,0.568114658494923
POLY-1,40,i_l_ripple,0.12289584794559677,0.874825051532972,0.5761323477203026
POLY-1,40,efficiency,0.1203243874890812,0.018354218378875905,0.6305826534201406
POLY-1,60,v_out_mean,0.055294992681025126,2.046142024745753,0.9396668436497292
POLY-1,60,i_l_mean,0.12452705110391954,1.8023005911804764,0.6518627868508797
POLY-1,60,v_out_ripple,0.1262291626621606,0.1815682737873379,0.43159035721843875
POLY-1,60,i_l_ripple,0.11449996588048576,0.8188760538708335,0.6640210678841432
POLY-1,60,efficiency,0.12942459966057612,0.019994794512495848,0.5391769922945565
POLY-1,80,v_out_mean,0.051833887483300575,2.228149350069331,0.9430750264521972
POLY-1,80,i_l_mean,0.10738188144090667,1.5541557170699463,0.6956276858785777
POLY-1,80,v_out_ripple,0.10264568335571127,0.1476861607023932,0.5509529813547667
POLY-1,80,i_l_ripple,0.10470065941276244,0.8395524028096452,0.6988176441494106
POLY-1,80,efficiency,0.10824452675684387,0.01672268699521985,0.609160308904445
POLY-1,100,v_out_mean,0.051248754988847095,2.2338296206147157,0.9409258771442636
POLY-1,100,i_l_mean,0.09939051792627612,1.9168349747559013,0.6228504917609908
POLY-1,100,v_out_ripple,0.0986834919957638,0.1419853770864763,0.5274702588496655
POLY-1,100,i_l_ripple,0.09694103176974554,0.7773310751776925,0.6994465200197271
POLY-1,100,efficiency,0.11644470205614439,0.019103358524194234,0.5470266999588937
POLY-2,20,v_out_mean,0.0677964981678861,2.0087210817377583,0.9135002313797762
POLY-2,20,i_l_mean,0.5239107485543,6.294296111394974,-2.917668290959981
POLY-2,20,v_out_ripple,0.9367838387098754,0.8615418653184137,-13.691048004885168
POLY-2,20,i_l_ripple,0.4494878989976728,3.199646537921749,-3.0103953573141204
POLY-2,20,efficiency,0.48188121103622306,0.07270766137625587,-3.652212518810802
POLY-2,40,v_out_mean,0.01840360003484043,0.6759190710328634,0.9936055405157849
POLY-2,40,i_l_mean,0.09040730151681226,1.1243389512487583,0.8499348779575198
POLY-2,40,v_out_ripple,0.08809181716911352,0.08101632985864475,0.83375479216017
POLY-2,40,i_l_ripple,0.08697193168597585,0.6191032967426788,0.7877175527564686
POLY-2,40,efficiency,0.09349811988922457,0.01426215371856245,0.7769430696424776
POLY-2,60,v_out_mean,0.016100148769924227,0.5957716857444363,0.9948850167665829
POLY-2,60,i_l_mean,0.07441108797375937,1.0769639741454355,0.8756922087571636
POLY-2,60,v_out_ripple,0.09011415294335115,0.12962037336430166,0.7103136419993025
POLY-2,60,i_l_ripple,0.0672760857154187,0.4811422882695124,0.8840094089883852
POLY-2,60,efficiency,0.07509256313677869,0.011601043180926822,0.8448705151407991
POLY-2,80,v_out_mean,0.012086272917454085,0.5195446927352685,0.996905004174243
POLY-2,80,i_l_mean,0.06472271781036494,0.9367425915762031,0.8894250836044941
POLY-2,80,v_out_ripple,0.0657815916517002,0.09464626663612788,0.8155752550306125
POLY-2,80,i_l_ripple,0.06494091888393033,0.5207350631358499,0.8841309220474477
POLY-2,80,efficiency,0.0638363814567021,0.009862076707175323,0.8640675039461526
POLY-2,100,v_out_mean,0.013679723952941604,0.5962715108798983,0.9957909381197713
POLY-2,100,i_l_mean,0.06104500932213754,1.1773075676068914,0.8577265158538367
POLY-2,100,v_out_ripple,0.059689286619445704,0.08588068477601674,0.8271247157300019
POLY-2,100,i_l_ripple,0.05471487508855421,0.4387365381237125,0.9042547341062924
POLY-2,100,efficiency,0.0675569401546145,0.01108306711926561,0.8475339750542626
GP-SE,20,v_out_mean,0.1333170708806495,3.9500094853031493,0.6655186189811736
GP-SE,20,i_l_mean,0.14087183093145728,1.692442882845459,0.716755579995393
GP-SE,20,v_out_ripple,0.24999179713546407,0.22991259063030603,-0.046226016922866986
GP-SE,20,i_l_ripple,0.0521425142953932,0.37117265162382923,0.9460321498352684
GP-SE,20,efficiency,0.13006331337817376,0.01962433713951809,0.6610862519104432
GP-SE,40,v_out_mean,0.010530075049873437,0.3867438181737522,0.997906556710061
