model,output,nominal,empirical
GP-M32,i_l_ripple,0.3,0.65
GP-M32,i_l_ripple,0.4,0.74
GP-M32,i_l_ripple,0.5,0.75
GP-M32,i_l_ripple,0.6,0.8
GP-M32,i_l_ripple,0.7,0.86
GP-M32,i_l_ripple,0.8,0.93
GP-M32,i_l_ripple,0.9,0.95
GP-M32,i_l_ripple,0.95,0.96
GP-M32,efficiency,0.1,0.19
GP-M32,efficiency,0.2,0.36
GP-M32,efficiency,0.3,0.49
GP-M32,efficiency,0.4,0.57
GP-M32,efficiency,0.5,0.71
GP-M32,efficiency,0.6,0.75
GP-M32,efficiency,0.7,0.85
GP-M32,efficiency,0.8,0.85
GP-M32,efficiency,0.9,0.9
GP-M32,efficiency,0.95,0.92
GP-SE-noARD,v_out_mean,0.1,0.2
GP-SE-noARD,v_out_mean,0.2,0.27
GP-SE-noARD,v_out_mean,0.3,0.34
GP-SE-noARD,v_out_mean,0.4,0.48
GP-SE-noARD,v_out_mean,0.5,0.57
GP-SE-noARD,v_out_mean,0.6,0.64
GP-SE-noARD,v_out_mean,0.7,0.69
GP-SE-noARD,v_out_mean,0.8,0.75
GP-SE-noARD,v_out_mean,0.9,0.86
GP-SE-noARD,v_out_mean,0.95,0.91
GP-SE-noARD,i_l_mean,0.1,0.11
GP-SE-noARD,i_l_mean,0.2,0.25
GP-SE-noARD,i_l_mean,0.3,0.34
GP-SE-noARD,i_l_mean,0.4,0.45
GP-SE-noARD,i_l_mean,0.5,0.56
GP-SE-noARD,i_l_mean,0.6,0.62
GP-SE-noARD,i_l_mean,0.7,0.68
GP-SE-noARD,i_l_mean,0.8,0.79
GP-SE-noARD,i_l_mean,0.9,0.82
GP-SE-noARD,i_l_mean,0.95,0.85
GP-SE-noARD,v_out_ripple,0.1,0.06
GP-SE-noARD,v_out_ripple,0.2,0.14
GP-SE-noARD,v_out_ripple,0.3,0.23
GP-SE-noARD,v_out_ripple,0.4,0.32
GP-SE-noARD,v_out_ripple,0.5,0.38
