model,N,output,rmse,nrmse,r2,train_s
GP-M52,125,i_l_ripple,0.026304538322730737,0.00386924470633824,0.998880488058309,2.2999463810001544
GP-M52,125,efficiency,0.0015117335072186882,0.005399940734037915,0.9977092117995228,1.9597705850001148
GP-M52,150,v_out_mean,0.29318657561089045,0.0031226801574011664,0.9997345814358756,3.1489105089995064
GP-M52,150,i_l_mean,0.29609849138649835,0.007518758557755683,0.9949882009841081,3.090146714999719
GP-M52,150,v_out_ripple,0.01975235205003643,0.01861998670700365,0.9737697593943604,3.27621378799995
GP-M52,150,i_l_ripple,0.02052378034476065,0.0030189288053153736,0.9993184745489325,3.13463745899935
GP-M52,150,efficiency,0.0013434806113072654,0.004798938201572052,0.9981907554817627,2.844705372000135
GP-SE,10,v_out_mean,3.6134222871683384,0.038485943815609616,0.9596837090060832,0.3313315370005512
GP-SE,10,i_l_mean,3.824824551914318,0.09712286002187696,0.16373428105667598,0.38771147500028746
GP-SE,10,v_out_ripple,0.12456884699726548,0.1174275483405824,-0.04323831407392942,0.40694195099968056
GP-SE,10,i_l_ripple,0.6039030810258672,0.088830633358104,0.4099322846131138,0.369983818000037
GP-SE,10,efficiency,0.026088514773389884,0.09318866912896884,0.31776629786826194,0.39138993699998537
GP-SE,15,v_out_mean,1.7284633072687245,0.018409567563445948,0.9907750618626375,0.34807485100009217
GP-SE,15,i_l_mean,2.8021824421691166,0.07115515218870337,0.5511367266256342,0.38206852700022864
GP-SE,15,v_out_ripple,0.0999912855143153,0.09425897241889852,0.3278148048156414,0.39497922899954574
GP-SE,15,i_l_ripple,0.6082335714903715,0.08946762333679342,0.4014393841698799,0.3534723459997622
GP-SE,15,efficiency,0.025471179586594977,0.0909835361436837,0.3496718176919522,0.4249411060000057
GP-SE,20,v_out_mean,1.5624535746904151,0.016641426246683338,0.9924619784043099,0.4375721389997125
GP-SE,20,i_l_mean,3.0153910891254183,0.07656910864415088,0.48023318111095425,0.39129335899997386
GP-SE,20,v_out_ripple,0.08971241915291166,0.08456937421167895,0.4589096669555818,0.37873295200006396
GP-SE,20,i_l_ripple,0.7862059254535365,0.1156463222364989,-9.208062282572982e-05,0.3800520009999673
GP-SE,20,efficiency,0.024879795410659485,0.08887110066094121,0.3795195982651842,0.5176560190002419
GP-SE,30,v_out_mean,1.1142896323026756,0.011868108616976384,0.9961661129604146,0.5281886259999737
GP-SE,30,i_l_mean,1.7676202732749617,0.04488476112902808,0.8213927001026372,0.5097060220005005
GP-SE,30,v_out_ripple,0.06569665353376586,0.06193038744928043,0.7098309183566172,0.41919583800063265
GP-SE,30,i_l_ripple,0.1863793729281589,0.02741532252819465,0.9437965396237218,0.4408700959993439
GP-SE,30,efficiency,0.014204130541053179,0.05073742345060649,0.797761530964926,0.5014671919998364
GP-SE,40,v_out_mean,1.2712707407815111,0.013540087600026013,0.9950097852405694,0.5217274550004731
GP-SE,40,i_l_mean,1.9170629898890224,0.04867952448352811,0.7899154943742716,0.7849195740000141
GP-SE,40,v_out_ripple,0.0693277989874275,0.06535336613592509,0.6768683752885412,0.8368173459994068
GP-SE,40,i_l_ripple,0.0667712867741169,0.009821668212397043,0.9927864864080344,0.5247643160000734
GP-SE,40,efficiency,0.016120160684801193,0.05758151943145499,0.7395207144307208,0.5576051210000514
GP-SE,50,v_out_mean,1.273082400294412,0.013559383276170513,0.9949955522192196,0.47606773100051214
GP-SE,50,i_l_mean,1.538302894566357,0.03906175948003676,0.8647289155763025,0.6401481240000066
GP-SE,50,v_out_ripple,0.06553269746700949,0.061775830676709616,0.7112774339228267,0.6933875100003206
GP-SE,50,i_l_ripple,0.055154112977190375,0.008112849465423387,0.9950782089557322,0.9091513109997322
GP-SE,50,efficiency,0.011361700252536477,0.04058420859803387,0.870603921759289,0.6302651900005003
GP-SE,75,v_out_mean,1.01456519309944,0.01080596064223011,0.9968216402595409,0.8644145179996485
GP-SE,75,i_l_mean,0.7845470720669726,0.019921817177940178,0.9648148611614977,0.8883145849995344
GP-SE,75,v_out_ripple,0.04585095684458901,0.04322240737644562,0.8586611850309253,0.9145929769993018
GP-SE,75,i_l_ripple,0.02516890253386842,0.0037021992820668436,0.9989750659512016,0.9046372720004001
GP-SE,75,efficiency,0.00661220977197109,0.023618938602056837,0.9561744166885695,0.8870917049998752
GP-SE,100,v_out_mean,0.5988307836155595,0.006378044430380255,0.9988927355191538,1.1011064340000303
GP-SE,100,i_l_mean,0.5464800350548497,0.013876637536960562,0.9829285717328434,1.2649213230006353
GP-SE,100,v_out_ripple,0.025047836982364527,0.02361189140763425,0.957820143728283,1.2121974649999174
GP-SE,100,i_l_ripple,0.018461040110628456,0.0027155117054391137,0.9994485835795035,1.1989543959998628
GP-SE,100,efficiency,0.0024249302039541813,0.00866189663919171,0.994105690381155,1.213843753999754
GP-SE,125,v_out_mean,0.24671635151276156,0.002627733734977648,0.9998120514405603,1.569487423999817
GP-SE,125,i_l_mean,0.3085903321574885,0.007835960898973982,0.9945564039662912,1.6268912309997177
GP-SE,125,v_out_ripple,0.02447893005793902,0.023075598851512776,0.959714430988825,1.6623582830006853
GP-SE,125,i_l_ripple,0.013582078982184753,0.001997844879773987,0.9997015305631302,1.5712141489993883
GP-SE,125,efficiency,0.0021272589349042702,0.007598609225490926,0.9954639777943868,1.6112488530006885
GP-SE,150,v_out_mean,0.2587291262271881,0.002755679747368936,0.9997933031886159,2.1925158770000053
GP-SE,150,i_l_mean,0.3384961513302357,0.008595352251421919,0.993450189615006,2.3982394949998707
GP-SE,150,v_out_ripple,0.022111648207621567,0.02084402883529485,0.9671294575069341,2.329552717000297
GP-SE,150,i_l_ripple,0.013565139164041156,0.0019953531309786165,0.9997022746119624,2.2866929309993793
GP-SE,150,efficiency,0.0015481325585230254,0.005529958835032611,0.9975975699710529,2.4506775850004487
POLY-3-L,10,v_out_mean,6.3340192256497,0.06746255728565194,0.8761198028435392,0.00435508100053994
POLY-3-L,10,i_l_mean,3.7921011006191283,0.09629192120718422,0.17798248344832812,0.005866914999387518
POLY-3-L,10,v_out_ripple,0.11830941732322932,0.11152696004462995,0.05897043060437479,0.0029008520004936145
POLY-3-L,10,i_l_ripple,0.8459199621467036,0.12442990997844633,-0.15777964562180902,0.006448813999668346
POLY-3-L,10,efficiency,0.02757758285550074,0.09850764853502822,0.23766325201113303,0.0026883460004683
POLY-3-L,15,v_out_mean,3.864368419567995,0.041158728224609906,0.9538894627912741,0.003562410000085947
POLY-3-L,15,i_l_mean,2.8642481716485273,0.07273117249357396,0.5310327164006945,0.008699740000338352
POLY-3-L,15,v_out_ripple,0.10089072393088255,0.09510684771586701,0.31566757868200146,0.0028305019995968905
POLY-3-L,15,i_l_ripple,0.5647054641750415,0.08306489173434502,0.48404557313871277,0.008304816999952891
POLY-3-L,15,efficiency,0.026537506667904717,0.09479247668424634,0.2940812919122583,0.002358450000429002
POLY-3-L,20,v_out_mean,2.701424714656074,0.02877241338759402,0.9774664887143177,0.002986365999277041
POLY-3-L,20,i_l_mean,3.187561888512185,0.08094100079808678,0.4191840844646555,0.008000739999260986
POLY-3-L,20,v_out_ripple,0.10335013140593047,0.09742526196731881,0.28189705863628467,0.002386172000115039
POLY-3-L,20,i_l_ripple,0.4725605660005248,0.06951091275537419,0.6386880555494209,0.005353192000256968
POLY-3-L,20,efficiency,0.028041824823242398,0.10016592964084976,0.2117808119521022,0.0024271809998026583
POLY-3-L,30,v_out_mean,1.9347841323373303,0.020607055443503036,0.9884413219489604,0.0030970420002631727
POLY-3-L,30,i_l_mean,2.2815451259415283,0.057934732663622236,0.7024366885830137,0.005558614000619855
POLY-3-L,30,v_out_ripple,0.07306234965129255,0.06887382200577025,0.6411178079437535,0.002936325000518991
POLY-3-L,30,i_l_ripple,0.4422413319807188,0.06505112964524865,0.6835639011431478,0.003554386999894632
POLY-3-L,30,efficiency,0.020801766079889004,0.07430430261573302,0.5662546062943425,0.002598905000013474
POLY-3-L,40,v_out_mean,1.9111729007749805,0.020355576247574888,0.9887217143256493,0.0027105130002382793
POLY-3-L,40,i_l_mean,2.0545918279868545,0.05217176155486302,0.7586916389491338,0.0041932049998649745
POLY-3-L,40,v_out_ripple,0.07294297851355486,0.06876129419175371,0.642289551778873,0.0025088160000450443
