D,V_in,R,f_sw,v_out_mean,i_l_mean,v_out_ripple,i_l_ripple,efficiency
0.686538782458434,12.7144232691695,20.7351656818072,18476.5839702967,37.3958552728309,5.75350035597421,0.670130455532427,4.72432820098651,0.921956904899771
0.510963266798839,16.6984139596373,39.5498751863109,33555.3252501726,33.0074003000321,1.70657241417109,0.127085039984463,2.5427487540541,0.966668526316724
0.693627359142338,15.9876249875415,18.3899028681945,72730.4044080957,47.7573718871772,8.47639143232293,0.24766874099819,1.52473428263134,0.915179844217045
0.402514362570488,19.9316129971434,7.11844528315633,54546.9417386429,31.185000065725,7.33218017053766,0.323274592931528,1.4707993234501,0.93482597947193
0.342748105136364,16.4444584312677,9.60549021645521,26237.4261008866,23.6523171667125,3.74647046486541,0.321668100267109,2.14819355589162,0.945335496496413
0.625852329546679,13.8259654568736,5.53776883650763,24089.3618470619,31.0025382553668,14.9630243792872,1.45448419682933,3.59204728807361,0.838966906330473
0.301723501223494,19.2387320245045,40.8226327649723,88957.4843225243,26.6973788497971,0.93656988389366,0.0221816710327001,0.65253391884243,0.968990690550641
0.558841452570027,15.5259218299456,12.7142234095244,82372.8551557614,32.7977075134785,5.84734814510748,0.175008097430894,1.05332377899598,0.931924633149678
0.644660091232907,16.8694292447759,27.4209581067345,98456.5050196608,45.0533961925365,4.62382003617231,0.107579935390208,1.10455350754251,0.949010749587521
0.48111621907034,18.6417935688977,35.3613791953511,30864.1072373546,34.7736187217554,1.89518057629798,0.153291110733476,2.90592213459616,0.967904010537417
0.690131375522473,10.9155332920982,8.87689790984579,81319.4584729084,29.8204430624589,10.8411477235463,0.285095367718908,0.926365244789071,0.84653854519073
0.609514677252676,12.684892017451,46.0752789947793,93037.3424536953,31.2054010647401,1.73443121263757,0.0443699221234348,0.831024152248301,0.960611339020871
0.49754076468904,18.0794341719661,32.3744688573999,83797.9259789642,34.7509530186037,2.13630488811583,0.0637322816481427,1.07344607852505,0.965790030482343
0.396566257781819,15.859236858835,13.8609503230941,17729.916356112,24.988393343272,2.98755380511063,0.403231451255661,3.54724640887298,0.950792263295432
0.553819922286057,10.6930047338582,22.7132493993978,30137.1529044229,22.6266984910553,2.23270705832868,0.183066244748499,1.96501609474884,0.944129582135268
0.382155727235325,17.526789644778,25.684119294514,51351.2354645461,27.3355671529889,1.7225997716982,0.079205052535623,1.30434311506002,0.963617636232544
0.332957984580456,18.7797020811446,27.8288286035975,91594.831297335,27.1974870293331,1.46514518553098,0.0355264914521741,0.682664258167724,0.966035908557558
0.618569781680662,19.3277075860825,23.6274100886602,59293.2243589529,48.1381878348437,5.34144205596474,0.212548111314209,2.01634098856449,0.950001929280388
