output,input,mu_star,mu,sigma,mu_star_conf
v_out_mean,D,44.60581284420354,44.60581284420354,27.98324897829246,5.967034349340019
v_out_mean,V_in,35.686850702758754,35.686850702758754,17.94091277576155,3.4523383932654306
v_out_mean,R,4.773660647514442,4.761955661168207,9.031180397477788,1.7307897915370918
v_out_mean,f_sw,0.0494541017554611,0.0011433907439050194,0.07807418883264586,0.011138639419535459
i_l_mean,D,9.730787874944689,9.730787874944689,15.121880874258437,3.0791991987545386
i_l_mean,V_in,5.38247876134378,5.38247876134378,9.617411479056615,1.9419869997617627
i_l_mean,R,11.087893916724667,-11.087893916724667,15.907603172087057,2.8986602600349523
i_l_mean,f_sw,0.07969210735921477,0.04321986609167073,0.15059754816774934,0.022766413386401514
v_out_ripple,D,0.24486324006918356,0.2447396180512379,0.3289990913582835,0.06609953622471122
v_out_ripple,V_in,0.10388396206950601,0.10290060182218597,0.14932787530609468,0.03027996005339823
v_out_ripple,R,0.30916478364638567,-0.30761527877966843,0.39925850817908853,0.07274385818635369
v_out_ripple,f_sw,0.21561575559313695,-0.1959258283674931,0.38038615838650175,0.0687253416024244
i_l_ripple,D,1.8806184350504598,1.8806184350504598,1.9725116422743636,0.39836251600828065
i_l_ripple,V_in,1.3421937957610066,1.3421937957610066,1.3503700821445057,0.26907811634442874
i_l_ripple,R,0.0008651948777214979,0.0005378706025587188,0.0011170588783348929,0.00016733364682990784
i_l_ripple,f_sw,2.761133665241294,-2.761133665241294,2.816952883496796,0.5893350029099291
efficiency,D,0.06941560865583053,-0.05172637218181604,0.1222972241039009,0.022100918327378677
efficiency,V_in,0.027667698966271397,0.02438799948766014,0.02087772667546424,0.0027820316826571707
efficiency,R,0.08698166969312546,0.08661038352020181,0.12349222540769457,0.02186443750235999
efficiency,f_sw,0.0004444221823424699,-0.0002746698289331995,0.0008122249724568006,0.0001349551605550459
