strategy,seed,output,rmse,nrmse,r2,mae
random,12,efficiency,0.1871974254402434,0.08026662078495456,0.4730428720593569,0.11125518635904634
random,13,v_out_mean,0.9346447835107935,0.010252400649926783,0.9973816433195668,0.4010629292444214
random,13,i_l_mean,1.235488246889053,0.03273704571244073,0.9274646353915927,0.589963069289006
random,13,v_out_ripple,0.03868189102309041,0.02846634645389085,0.9236923440541138,0.015597935075150896
random,13,i_l_ripple,0.09927532539548846,0.016467341713394985,0.9883903603024488,0.022493212616706785
random,13,efficiency,0.3928003228970634,0.16842515054915008,-1.3201668245227824,0.2317298108411616
random,14,v_out_mean,0.7313982307221903,0.00802292788479987,0.9983965942186465,0.4099521028630876
random,14,i_l_mean,1.1347146949557276,0.030066823325013568,0.9388148653578963,0.5579773429812676
random,14,v_out_ripple,0.05159904151720499,0.03797219199135486,0.8642199427055302,0.015614737921427898
random,14,i_l_ripple,0.1508976039266946,0.025030211663313647,0.9731774050849216,0.03204925824713694
random,14,efficiency,0.27881872453232387,0.11955205461372528,-0.16901319373015156,0.1555197193706494
random,15,v_out_mean,0.8435851445073161,0.009253539993373866,0.9978669871058343,0.43121127961246974
random,15,i_l_mean,0.7134512065176709,0.01890449773211188,0.9758119356577164,0.46019918885531
random,15,v_out_ripple,0.06775319471200143,0.04986017650684312,0.7658941454731204,0.019165912225138478
random,15,i_l_ripple,0.06897370112403502,0.011441045407025955,0.9943959349869581,0.020208307915046474
random,15,efficiency,0.1769634822214163,0.07587850466878195,0.5290846450105865,0.10671780482136006
random,16,v_out_mean,0.8558518214741845,0.009388096874368977,0.9978045032784866,0.39343369368897446
random,16,i_l_mean,0.9287778940988939,0.0246100636346647,0.9590082648470125,0.5490021084972437
random,16,v_out_ripple,0.04804239473908658,0.035354824103637134,0.8822930752591733,0.021159388575066777
random,16,i_l_ripple,0.052362050452505124,0.00868557996844013,0.9967702463859404,0.013384378932593848
random,16,efficiency,0.30401719891897033,0.13035667109387014,-0.38986253083329814,0.16374772776310087
random,17,v_out_mean,0.9945868523213138,0.010909923289621521,0.9970350248206493,0.41142800306787985
random,17,i_l_mean,0.8183260579753715,0.02168339329417099,0.9681781574172438,0.44307001315892486
random,17,v_out_ripple,0.04205459155797509,0.030948346670838362,0.9098056033938872,0.013320749457497399
random,17,i_l_ripple,0.0407523696792977,0.006759818660539884,0.9980436712477531,0.009905777888758972
random,17,efficiency,0.1914442812284915,0.08208759007596926,0.4488620253931179,0.11449018480942115
random,18,v_out_mean,1.2113666352204098,0.013287846139345543,0.9956016797326721,0.4456367692571514
random,18,i_l_mean,1.2668251332079619,0.033567387144251865,0.9237384015825524,0.5946089580449552
random,18,v_out_ripple,0.03388665825686656,0.024937492159541726,0.9414387680366416,0.014153367472756879
random,18,i_l_ripple,0.034882481828310274,0.005786148227565324,0.998566654601358,0.014388107377102768
random,18,efficiency,0.2534116580287684,0.1086579978845637,0.034330040819627095,0.16869692098791586
random,19,v_out_mean,0.7320954586422611,0.00803057598823659,0.9983935357695388,0.4051639932291088
random,19,i_l_mean,1.46487971637056,0.038815289711417775,0.8980290435583996,0.5190774393242892
random,19,v_out_ripple,0.03934219097643733,0.02895226704200898,0.9210649654861556,0.013173464610440567
random,19,i_l_ripple,0.04328168354636761,0.0071793697985849236,0.9977932944159104,0.01120186500481864
random,19,efficiency,0.25199750912064833,0.10805163829455018,0.04507769781743698,0.17273345848107344
random,20,v_out_mean,1.0259735741818754,0.011254213712335443,0.9968449373744387,0.48671126302533174
random,20,i_l_mean,1.0478237331072158,0.027764451451225827,0.9478266139122414,0.5346322018723936
random,20,v_out_ripple,0.03428400938515842,0.025229906376702117,0.9400573512897159,0.016059743612434067
random,20,i_l_ripple,0.0457256676246283,0.007584766817415993,0.9975370464938569,0.013322570268527017
random,20,efficiency,0.4048325501685747,0.17358433594568792,-1.4644861901758044,0.21657885986898706
random,21,v_out_mean,0.9806841250990651,0.010757420079713548,0.9971173366623189,0.5511312081754919
random,21,i_l_mean,1.046852068435538,0.027738705005758642,0.9479233315743444,0.6372973490862613
random,21,v_out_ripple,0.07191976438426347,0.05292639205830324,0.736215525604005,0.033175940433400254
random,21,i_l_ripple,0.07319421147842028,0.012141124565001118,0.993689125027772,0.01415842459451905
random,21,efficiency,0.19667126326622333,0.08432881846939244,0.41835586248311385,0.11901366821837145
random,22,v_out_mean,0.7740725865287041,0.008491035770196158,0.9982040302847368,0.4370637041878967
random,22,i_l_mean,1.3127352371301577,0.034783878822378524,0.918110758653995,0.579156145743948
random,22,v_out_ripple,0.04398846565433311,0.032371501758894194,0.9013197260926391,0.014635689734470223
random,22,i_l_ripple,0.1062667161051705,0.017627041965290823,0.9866975809929094,0.024250111450941317
random,22,efficiency,0.23039471900219893,0.09878878140292024,0.20178372081077367,0.13638214835272447
random,23,v_out_mean,0.7205604688488804,0.007904045204626658,0.9984437602680991,0.3885858419160926
