strategy,N,output,rmse_mean,rmse_std,rmse_min,rmse_max,n_reps
lhs,20,efficiency,0.2943280681646345,0.038596261031186276,0.26112002044914573,0.3930403174382534,10
lhs,20,i_l_mean,2.5438886715595093,1.0069904491466555,1.5090258601673598,5.202748824494871,10
lhs,20,i_l_ripple,0.3009031420519008,0.06196331183646215,0.18859005274135143,0.3725618415453291,10
lhs,20,v_out_mean,2.9182205370244545,1.369067451664617,1.6981306841568653,6.3823222712356324,10
lhs,20,v_out_ripple,0.1565001671194739,0.061115390082737,0.10218029230580811,0.24690907744583784,10
lhs,40,efficiency,0.2895288754882971,0.10134882354468441,0.20013012626388055,0.5055076283552392,10
lhs,40,i_l_mean,2.538364879702045,1.692851077585828,1.6172745230901915,7.251378642567575,10
lhs,40,i_l_ripple,0.15803837362153067,0.04545013528411026,0.09238319016919795,0.22341456269221957,10
lhs,40,v_out_mean,2.01344236227456,0.6582812153615307,1.3536005025358426,3.7177900082402644,10
lhs,40,v_out_ripple,0.10689618664335769,0.02957869238078045,0.06706284994509432,0.15279817504832344,10
lhs,60,efficiency,0.2526520000752687,0.04979847089247334,0.1915642873674215,0.327705773440062,10
lhs,60,i_l_mean,1.6772844172818957,0.4543833471818682,1.0066009489183152,2.445763588920836,10
lhs,60,i_l_ripple,0.1069824887121071,0.03022070184653452,0.04876995629158963,0.1449448177137902,10
lhs,60,v_out_mean,1.259111604454046,0.23573937246902651,0.9833515902487087,1.6363529812537254,10
lhs,60,v_out_ripple,0.06527692741981977,0.00995423575096109,0.05192966988535769,0.08385612206773026,10
lhs,80,efficiency,0.21211798317873423,0.033955359397558456,0.15385560261085374,0.28434269240344656,10
lhs,80,i_l_mean,1.2584468347378535,0.26734232784623957,0.882298915930025,1.6262857268314483,10
lhs,80,i_l_ripple,0.08490351391339997,0.031764839668882765,0.04137558955047347,0.1379357158814869,10
lhs,80,v_out_mean,0.9627073363492606,0.26438623854475796,0.6934154077139911,1.5369650557659698,10
lhs,80,v_out_ripple,0.05809625881684209,0.018928001261104426,0.04096424337983372,0.10649882086363265,10
lhs,100,efficiency,0.20339578440256556,0.014572067037663162,0.1805469002117108,0.23392992113883426,10
lhs,100,i_l_mean,1.01051987012025,0.254972054096556,0.6596546171055778,1.4898236427574072,10
lhs,100,i_l_ripple,0.057427654718274136,0.024834173700586604,0.03623087473143667,0.12080432530584952,10
lhs,100,v_out_mean,0.9193931926759109,0.16202640379573824,0.6819926561596893,1.171131665991059,10
lhs,100,v_out_ripple,0.04576751705585248,0.022535146684162347,0.02825788035630531,0.10798473237315082,10
lhs,150,efficiency,0.2086096467744249,0.03364996214848923,0.15470835925970822,0.28595464777117297,10
lhs,150,i_l_mean,0.8449507538967381,0.21512141668815013,0.5828202210174497,1.0999430418251448,10
lhs,150,i_l_ripple,0.033198048094367626,0.011385138447749193,0.015318084380282343,0.05060900778288373,10
lhs,150,v_out_mean,0.7255323531424466,0.15739378971715984,0.5429455049200975,1.1151268279261164,10
lhs,150,v_out_ripple,0.03584944460235161,0.01843660811621881,0.019161846101171366,0.08391752323188764,10
lhs,200,efficiency,0.18683716843222498,0.024297225454249317,0.15014224853735506,0.21843368569243132,10
lhs,200,i_l_mean,0.6822748704157865,0.13376693216382812,0.4586748694113291,0.8499497040703484,10
lhs,200,i_l_ripple,0.022830193148069416,0.012468321591504537,0.009005099011573923,0.052737866423183344,10
lhs,200,v_out_mean,0.5807803450191988,0.11462753920283587,0.47163447188705243,0.8334566296520707,10
lhs,200,v_out_ripple,0.025406924556484488,0.006298798230713446,0.01675396962934989,0.03584672356029623,10
maximin_lhs,20,efficiency,0.257855399107584,,0.257855399107584,0.257855399107584,1
maximin_lhs,20,i_l_mean,1.943959708888439,,1.943959708888439,1.943959708888439,1
maximin_lhs,20,i_l_ripple,0.7422201301426051,,0.7422201301426051,0.7422201301426051,1
maximin_lhs,20,v_out_mean,3.651854562935589,,3.651854562935589,3.651854562935589,1
maximin_lhs,20,v_out_ripple,0.13657524340357785,,0.13657524340357785,0.13657524340357785,1
maximin_lhs,40,efficiency,0.2854145848321938,,0.2854145848321938,0.2854145848321938,1
maximin_lhs,40,i_l_mean,1.9041559446564433,,1.9041559446564433,1.9041559446564433,1
maximin_lhs,40,i_l_ripple,0.08237590538115887,,0.08237590538115887,0.08237590538115887,1
maximin_lhs,40,v_out_mean,1.1298360211596312,,1.1298360211596312,1.1298360211596312,1
maximin_lhs,40,v_out_ripple,0.12267741325255736,,0.12267741325255736,0.12267741325255736,1
maximin_lhs,60,efficiency,0.20126963750436963,,0.20126963750436963,0.20126963750436963,1
maximin_lhs,60,i_l_mean,1.129670891112045,,1.129670891112045,1.129670891112045,1
maximin_lhs,60,i_l_ripple,0.06515590412569636,,0.06515590412569636,0.06515590412569636,1
maximin_lhs,60,v_out_mean,1.3478838024141662,,1.3478838024141662,1.3478838024141662,1
maximin_lhs,60,v_out_ripple,0.052327487299995874,,0.052327487299995874,0.052327487299995874,1
maximin_lhs,80,efficiency,0.22515739732601914,,0.22515739732601914,0.22515739732601914,1
maximin_lhs,80,i_l_mean,1.4038661073770178,,1.4038661073770178,1.4038661073770178,1
maximin_lhs,80,i_l_ripple,0.027497731387713973,,0.027497731387713973,0.027497731387713973,1
maximin_lhs,80,v_out_mean,0.8096095312726543,,0.8096095312726543,0.8096095312726543,1
maximin_lhs,80,v_out_ripple,0.03716548544398144,,0.03716548544398144,0.03716548544398144,1
maximin_lhs,100,efficiency,0.2911020081204341,,0.2911020081204341,0.2911020081204341,1
maximin_lhs,100,i_l_mean,1.3778122973690996,,1.3778122973690996,1.3778122973690996,1
maximin_lhs,100,i_l_ripple,0.05783175306885851,,0.05783175306885851,0.05783175306885851,1
maximin_lhs,100,v_out_mean,0.982430533736934,,0.982430533736934,0.982430533736934,1
maximin_lhs,100,v_out_ripple,0.03495020659138346,,0.03495020659138346,0.03495020659138346,1
maximin_lhs,150,efficiency,0.23546415975406124,,0.23546415975406124,0.23546415975406124,1
maximin_lhs,150,i_l_mean,0.7057457885350708,,0.7057457885350708,0.7057457885350708,1
maximin_lhs,150,i_l_ripple,0.024635137490682912,,0.024635137490682912,0.024635137490682912,1
maximin_lhs,150,v_out_mean,0.651240434689544,,0.651240434689544,0.651240434689544,1
maximin_lhs,150,v_out_ripple,0.021472558308404954,,0.021472558308404954,0.021472558308404954,1
maximin_lhs,200,efficiency,0.2241422253892875,,0.2241422253892875,0.2241422253892875,1
maximin_lhs,200,i_l_mean,0.5708237560242166,,0.5708237560242166,0.5708237560242166,1
maximin_lhs,200,i_l_ripple,0.01853853777649486,,0.01853853777649486,0.01853853777649486,1
maximin_lhs,200,v_out_mean,0.5463676829487844,,0.5463676829487844,0.5463676829487844,1
maximin_lhs,200,v_out_ripple,0.01941359440799249,,0.01941359440799249,0.01941359440799249,1
random,20,efficiency,0.34089152135918027,0.08103097305953771,0.2639413708735929,0.5286467663689615,10
random,20,i_l_mean,3.250850649067817,0.9539990766781293,2.2937001115431936,5.412590524506848,10
random,20,i_l_ripple,0.3151688295497403,0.1309337565918655,0.16458620276949418,0.5225629550328531,10
random,20,v_out_mean,4.030816814742,2.176086539800014,2.3143154323371684,9.32003987731592,10
random,20,v_out_ripple,0.12984378596608384,0.017250350197902005,0.10972147570267558,0.1628990063672683,10
random,40,efficiency,0.30746621504914157,0.125849945810676,0.22281245914183986,0.6354257736622565,10
random,40,i_l_mean,2.1503452570433605,0.586512743632363,1.429173970463808,3.0503013758823934,10
random,40,i_l_ripple,0.14850432690399587,0.044042091596502984,0.09891456544854146,0.22838618702126773,10
random,40,v_out_mean,2.0071208240159004,0.5993704740078889,1.3344151890363196,3.021672052953252,10
random,40,v_out_ripple,0.08152999725352364,0.02640682095613041,0.05151286133068042,0.14351034697170467,10
random,60,efficiency,0.27032068878261983,0.10716476605692653,0.19843680110333708,0.5428659789824108,10
random,60,i_l_mean,1.6445395043601547,0.2760031952911497,1.2338218977851194,2.1059508645896727,10
random,60,i_l_ripple,0.09949169010474955,0.025603956012019775,0.060383993271864715,0.14133216380180527,10
random,60,v_out_mean,1.7656122697560583,1.0391575829448658,0.7935532956821287,4.325289805259491,10
random,60,v_out_ripple,0.0795219191072965,0.02661424319213185,0.04931257805732429,0.13605104916364497,10
random,80,efficiency,0.23781982495863113,0.04744817340302493,0.19879438504286154,0.3647731660629194,10
random,80,i_l_mean,1.1676839230758833,0.24008330030185382,0.8727721501367245,1.5851901021474482,10
random,80,i_l_ripple,0.08195280349165363,0.04363802564574595,0.04142062984471008,0.17237472778246454,10
random,80,v_out_mean,0.9886493098148958,0.13131381026643169,0.7589875699544346,1.1484753448568565,10
random,80,v_out_ripple,0.0673809715432566,0.03330516164114385,0.04280352849648208,0.15688682251993047,10
random,100,efficiency,0.2026374606676303,0.026492664007843055,0.1546899503917014,0.23659159854860703,10
random,100,i_l_mean,1.0808894116191692,0.3045279615743876,0.7194010820542845,1.557193762910983,10
random,100,i_l_ripple,0.05620184430369886,0.02311094178965792,0.02583737642145073,0.09107190377253147,10
random,100,v_out_mean,0.8506354174723502,0.17976876843114287,0.5186968908277667,1.1588186163384715,10
