strategy,output,rmse_mean,rmse_std,rmse_min,rmse_max
lhs,efficiency,0.20784682013583106,0.04168967806371606,0.16815785249872006,0.38096734771913754
lhs,i_l_mean,1.0856009482683484,0.2781057350844606,0.7365650562290932,1.7163558096403468
lhs,i_l_ripple,0.05399965308061732,0.022340915368353784,0.02429259972677122,0.10196779601233337
lhs,v_out_mean,0.8529549464777342,0.1864082052279725,0.5422286819062886,1.3363890476606637
lhs,v_out_ripple,0.049590561886544544,0.021344447038273522,0.03034928738353017,0.11772353464708793
maximin_lhs,efficiency,0.20934714670085858,0.03614071340654725,0.15875350787478523,0.3452590609112704
maximin_lhs,i_l_mean,1.0811931390827538,0.21520269651911808,0.7470846377173497,1.7194797217363327
maximin_lhs,i_l_ripple,0.05500238187953969,0.02089631323459345,0.01844189593005094,0.09559392713660911
maximin_lhs,v_out_mean,0.8553840608654323,0.18645982663840283,0.6289105581447686,1.3821986225073144
maximin_lhs,v_out_ripple,0.045972931272407265,0.015862197458667984,0.027758502659504445,0.11180788193294183
random,efficiency,0.23602080145448928,0.060697625316789613,0.17085859045864765,0.4048325501685747
random,i_l_mean,1.1547259281135176,0.30552672868796643,0.7134512065176709,2.0467484796593864
random,i_l_ripple,0.0591226393999605,0.028674106720150475,0.020656871840325074,0.1508976039266946
random,v_out_mean,0.8648510710532605,0.19250567351823863,0.5624647067671165,1.2121034723756994
random,v_out_ripple,0.05205240391208843,0.02795413929631357,0.027774886373308633,0.15463280969437967
