strategy,N,rep,output,rmse,nrmse,r2,mae
random,20,0,v_out_mean,2.4198021356267985,0.026543539776475847,0.9824492635099199,1.3280861850270236
random,20,0,i_l_mean,3.896120124016981,0.1032364839748718,0.2786646122169776,1.6620900367251157
random,20,0,v_out_ripple,0.10972147570267558,0.0807450064662065,0.3860457658883035,0.053225846213525795
random,20,0,i_l_ripple,0.5011125073248903,0.0831222749671302,0.7041942660171883,0.23655775437802598
random,20,0,efficiency,0.2823975012082246,0.12108656455499721,-0.19921551739374066,0.1687446354844939
random,20,1,v_out_mean,2.5801862019421864,0.028302840994156902,0.9800456433058959,1.688324350215202
random,20,1,i_l_mean,2.345069888476226,0.062137912142201476,0.7386730846449336,1.0137147480339617
random,20,1,v_out_ripple,0.1146183526865153,0.08434866164120441,0.3300212263020018,0.06926306739965055
random,20,1,i_l_ripple,0.2291506862437921,0.038010478829485356,0.9381444849297949,0.11475827466002464
random,20,1,efficiency,0.35866949458606073,0.15379051416634276,-0.9344807926965923,0.24042336416076973
random,20,2,v_out_mean,2.3143154323371684,0.025386424298547598,0.9839460932147094,1.1190708740086153
random,20,2,i_l_mean,3.301452623947076,0.08747942826632038,0.4820561260760482,1.7632495606493144
random,20,2,v_out_ripple,0.1212658464953879,0.08924061125402208,0.2500544643562257,0.05607742656035667
random,20,2,i_l_ripple,0.255022867488656,0.04230203917172347,0.9233884317340426,0.11938439031258959
random,20,2,efficiency,0.3549680093759923,0.15220338918853415,-0.8947589648950105,0.21501432871628887
random,20,3,v_out_mean,3.602082308748354,0.03951232773651372,0.9611095562076555,1.8034248134236408
random,20,3,i_l_mean,3.213003804963439,0.08513577745655372,0.5094367149202945,1.2714688281271658
random,20,3,v_out_ripple,0.1152380060362861,0.084804670033487,0.32275752389210355,0.05036604769550942
random,20,3,i_l_ripple,0.21489953160015796,0.035646561789755116,0.9455989801993416,0.1077721737985787
random,20,3,efficiency,0.2880136900579835,0.12349467727129196,-0.24738869352514814,0.19834636491580473
random,20,4,v_out_mean,2.626728010738581,0.02881337213836396,0.9793192709384907,1.581494440906135
random,20,4,i_l_mean,2.981974360414622,0.07901413161641033,0.577447795596456,1.2642749164018119
random,20,4,v_out_ripple,0.13982104661671743,0.10289554748399454,0.002993898570310627,0.07347436682121138
random,20,4,i_l_ripple,0.2527069108994842,0.04191787877340345,0.9247735892198854,0.11025320646204977
random,20,4,efficiency,0.31488463975714176,0.13501641868713438,-0.49100291476838476,0.1879505609862495
random,20,5,v_out_mean,3.4759752954645755,0.03812902185628997,0.9637849577130605,2.392979269145575
random,20,5,i_l_mean,5.412590524506848,0.14341878513994163,-0.3921399853794838,3.310447307325225
random,20,5,v_out_ripple,0.1628990063672683,0.11987882261177925,-0.3532860008663139,0.1035352661782652
