D,V_in,R,f_sw,v_out_mean,i_l_mean,v_out_ripple,i_l_ripple,efficiency,ccm_ok,i_L_min,wall_time_s
0.3190007985766442,8.89077669618918,6.118578571883459,169719.96187012395,11.87042977866494,2.8488481381527087,0.03646487646011075,0.16710850242950828,0.9092291344228403,True,2.7652938869379544,0.0001262850000216531
0.27922141358278496,18.25398701660684,99.65365945157197,161439.09040344082,24.571287325990912,0.3420840169673781,0.004264564413235037,0.31571684686536944,0.9702240792198772,True,0.1842255935346934,3.9399000002049434e-05
0.2020339400517261,19.7837970769112,65.07335515100209,70127.04894989656,24.0289307905884,0.46275042618666407,0.010638245716111485,0.5699653033293777,0.9691906540081244,True,0.17776777452197523,9.786399999711648e-05
0.755041242510456,16.66078167851758,81.59788481587992,21928.5950813829,65.47262547920214,3.2755775438056416,0.2762744493637234,5.736608867580056,0.9626254815908872,True,0.4072731100156135,3.967899999679503e-05
0.4657191181804317,19.36985952188266,75.55415196725792,133295.3504752895,35.351992620134105,0.8757616603509967,0.016347999965682813,0.6767613321578191,0.9751177477475225,True,0.5373809942720871,3.77709999952458e-05
0.6834887915886397,17.531105064886333,69.11226026906576,31036.382438442823,53.648901447271534,2.4525430701403024,0.17094879320736156,3.8607314624306537,0.9685914586769939,True,0.5221773389249755,2.6926000032290176e-05
0.7385396385954466,15.234510426734932,61.30294330253234,99061.88557932411,55.74559322422875,3.4779501886481325,0.06779480785428255,1.1357839353592631,0.9567267042293689,True,2.910058220968501,4.7525000013592944e-05
0.2188697666423457,14.758062348547572,67.31394762426214,26576.822698675536,18.144205808377382,0.3450717891209497,0.022198090552670132,1.2153799191657202,0.9603555929265999,False,-0.2626181704619104,4.145799999832889e-05
0.27401827794953537,12.282411760832327,97.78297784140206,52159.21978531748,16.182645957213964,0.22796101770290755,0.008694301971221294,0.6452560704747722,0.9565145191448173,False,-0.09466701753447854,3.760999999258274e-05
0.5747568847845134,16.12420195085383,55.568768853084315,170645.81914498293,36.74682555306208,1.555076511665114,0.02227294181269203,0.5430836881526722,0.9691229755179728,True,1.283534667588778,2.495000001090375e-05
0.6952127491863411,18.97820825105567,38.47793898708902,189381.40107682694,59.330233462433455,5.059032379126875,0.05660367884747157,0.696683637243496,0.9528348781893973,True,4.710690560505127,2.1921000040947547e-05
0.3356218497586154,18.230425800089105,49.66956030101497,91944.4262895922,26.598155257272936,0.8060200778624389,0.019547265900933437,0.6654595037269473,0.9693264097854358,True,0.47329032599896526,3.915900003903516e-05
0.681532925307681,17.026558564889562,84.28626010308358,182681.1422484586,51.94931685760434,1.9353455499304275,0.022994087525483427,0.6352139100854372,0.9716671110521,True,1.617738594887709,2.3152999972353427e-05
0.4602707563995828,15.177366294395142,26.79732839732936,33093.432766434235,26.994938944253196,1.8664437306861745,0.14010783265503854,2.1109015537246374,0.9599793333578416,True,0.8109929538238558,2.19070000184729e-05
0.5557980281183843,22.784814382374446,63.95691327900829,100470.30258279672,50.086627337698566,1.7630060847792326,0.04332250741795759,1.2604475729861593,0.9764652129672858,True,1.1327822982861528,5.3450999985216185e-05
0.2533815352512213,8.062955501793189,46.06074710352369,186822.3866909488,10.055175186694012,0.29238826434134013,0.002960770267392641,0.10935541933131826,0.9310952366039805,True,0.237710554675681,3.840199997284799e-05
0.5067078653162715,15.682735534330817,94.09816341273803,199789.45693784225,30.922720811808734,0.6661811830680345,0.008334539929800695,0.3977469865886222,0.9726577946872822,True,0.46730768977372344,2.349099997900339e-05
0.3253568259746408,12.793709959557376,50.33555508409653,136750.77453841278,18.17144897252287,0.5351069184908005,0.008589043939583863,0.3043873703042538,0.9582243188422898,True,0.3829132333386736,2.089299999852301e-05
0.3040325062278526,19.46068258126219,24.560879824522726,61864.1325639274,27.00059387430515,1.5795756880171559,0.05402695463473728,0.9563991044361366,0.9656154438875268,True,1.1013761357990877,3.303300002244214e-05
0.5979088116135365,20.458759232229095,18.232161474563974,175152.29173893234,48.0629381465221,6.55613068381321,0.08998938574681864,0.6983906575348889,0.9446166161551002,True,6.206935355045766,2.1263999997245264e-05
0.7429261770037758,11.503953321624413,55.200484458970635,55319.60176301377,42.453584287895254,2.991669525671127,0.10328519875974072,1.5449475031070257,0.9486917155919578,True,2.219195774117614,2.130400002897659e-05
0.4871312726914458,12.507172736243907,34.8118760865643,34515.093238460664,23.369317461810855,1.3089178219633792,0.09474483844444193,1.7652088988098504,0.9582814883476132,True,0.42631337255845403,1.985699998385826e-05
0.22269199954016775,14.395189383372246,95.08218827248895,168453.2541783347,17.7848818070252,0.2406349347789923,0.0024727318613174737,0.19030166696268272,0.9603438028958178,True,0.14548410129765094,1.957099999572165e-05
0.6048348631526338,17.32707976143883,41.9326290506456,131048.58510123884,42.306211077183804,2.553132872571595,0.046564668939601615,0.7997050794747996,0.9648446200965977,True,2.1532803328341954,1.9119999990380165e-05
0.499097044211832,12.173554955767713,39.13350612228448,115280.67211818794,23.306616847671307,1.1889863872171405,0.025784515472314067,0.5270428411230075,0.9589929409149028,True,0.9254649666556367,1.9305000023450702e-05
0.7859429790212507,10.196383566591308,71.84291157031466,112932.74219455544,45.028554715165335,2.928023822961137,0.04361895411811803,0.7096060823321129,0.9453036185190468,True,2.5732207817950807,1.9482999960018788e-05
0.7098203238973924,16.896177594828924,89.15767717722626,174112.62931037135,56.50679761905189,2.184112269402456,0.025838072132316574,0.6888213853579965,0.9704635346464645,True,1.839701576723458,1.9723000036719895e-05
0.4129639715720961,13.905697609582042,35.98131242044578,185490.83284555856,22.766461415837146,1.077838710435708,0.014086666930594165,0.3095868417990719,0.9610976353822677,True,0.9230452895361719,2.0500999994510494e-05
0.6152364371938347,14.653873977927464,55.91279020221104,95414.90763785523,36.80399691834214,1.7107631338658658,0.04244334802210994,0.9448835030565664,0.966354494459168,True,1.2383213823375825,2.8628999984903203e-05
0.6278440509147356,23.450569450534644,69.20346423810096,125426.60416851415,61.470082815978145,2.386772345456681,0.04446293040758303,1.1738578603547178,0.9755181876919663,True,1.7998434152793221,2.857599997696525e-05
0.26045613339040413,10.573634429892376,43.49165629392744,99273.62423792065,13.533204860006663,0.4207564373764595,0.008163857594676206,0.2774118463624555,0.9465429050104743,True,0.28205051419523175,1.827199997705975e-05
0.7913664298442231,9.959096521585098,17.172452360987425,33560.8266114948,39.634413027086985,11.062567172110239,0.5442332666641927,2.348361305278883,0.8303031377341927,True,9.888386519470798,1.7329000002064276e-05
0.7275416809883879,11.676970977421702,16.0603713416535,146171.1293470186,37.83042639722603,8.645409737647721,0.11724165233020628,0.5812011668595131,0.8826958980724104,True,8.354809154217964,1.6991999984838912e-05
0.30856568176686283,15.021545771817348,37.88383932416121,24143.11080076478,20.892046709841562,0.7975833346836619,0.07048251581514273,1.9198576150866722,0.9616505713024568,False,-0.16234547285967416,1.8108999995547492e-05
0.4446544169807245,14.879199757767239,21.218980835447528,121406.63315200253,25.61425624916908,2.1736714809937583,0.044211721406944945,0.5449539058666005,0.9560167416177281,True,1.901194528060458,1.6967000021850254e-05
0.6083458835800511,20.26653281886069,27.582952982964866,46513.35632564943,49.51960478230628,4.583885018093998,0.23480606251455258,2.6506497893799903,0.9569745959915765,True,3.2585601234040027,1.6769999945154268e-05
0.5502044474724184,20.036137942435825,35.84282136969092,52678.73362476315,43.08735006831491,2.672590623683022,0.12555568095506617,2.0926798059771365,0.9672771512457912,True,1.6262507206944539,6.29859999889959e-05
0.4368303971605799,12.828598368085554,59.52605046082787,164510.98272636422,21.93770084445212,0.6544023286212751,0.009785927557597182,0.34064119168660867,0.9630550366683457,True,0.4840817327779708,2.5641000036102923e-05
0.7294571491330442,11.208460988490566,14.323250142878367,90135.09875780741,36.03819585594538,9.300052549406455,0.20362322461591356,0.9070930316282663,0.8698675274848938,True,8.846506033592322,2.7671999987433082e-05
0.31628002386281584,20.09396114330444,30.548782085650778,101483.5345657419,28.45837585950404,1.3625044884006312,0.029033031712033773,0.6262413441843409,0.9683287394057006,True,1.0493838163084608,2.0738999978675565e-05
0.775159144438401,23.835574019903618,37.05960700630737,160084.92518807927,98.04897646573338,11.767034469270644,0.12810989999187775,1.1541600898872462,0.9248955253641389,True,11.189954424327022,2.8681999992841156e-05
0.32027059083248544,20.200295524616916,9.308370006179631,21577.193023380703,28.255936235043812,4.465807546114485,0.45056575262903703,2.9983328117098265,0.9507975177450052,True,2.966641140259572,2.717199998869546e-05
0.6935454117276346,8.847148926191966,59.812922329751906,141502.09045557765,27.509803259550175,1.5008121427026124,0.022542626212996533,0.43362607046132484,0.95290646757406,True,1.2839991074719501,2.0250999966719974e-05
0.6198050833414144,19.62433034492998,99.06173807697286,85670.15792738275,50.45494276826113,1.3396503701138387,0.03684879925299661,1.419777901573242,0.9774964252855981,True,0.6297614193272177,3.0951000042023225e-05
0.40478368023930816,21.8136265802046,40.156048175584814,118055.13443136976,35.64695506388333,1.4914085956776801,0.030437542616530193,0.7479386719629997,0.972678675221018,True,1.1174392596961802,1.7009000032430777e-05
0.34577452634233174,17.082067442406014,42.879341850207155,120524.63504669971,25.24900672204793,0.9000543534147238,0.016893255756334224,0.4900694183024986,0.9670107812073372,True,0.6550196442634746,1.6319999986080802e-05
0.23114210838197816,8.320918251932559,89.741316727511,32448.772054804587,10.101198289001669,0.1463977434803096,0.008017911584474026,0.5927233810812255,0.9333568464626637,False,-0.14996394706030314,1.6396000035001634e-05
0.4014800133982749,18.06003964733624,86.7497796949906,198353.1979652245,29.361049696475657,0.5654894930543337,0.006850589123927903,0.36554716707199936,0.9730418877313565,True,0.382715909518334,1.6489000017827493e-05
0.5006857215771809,8.686278731181265,10.360777813709511,149702.94408785057,15.925542331338946,3.078420093333173,0.05140871346960205,0.2905150436981266,0.915449633123064,True,2.9331625714841096,5.6426000014653255e-05
0.4921656917217511,22.017682882791036,63.05491021321546,193170.6108057448,42.33166026460293,1.3219783804823646,0.017104747740184605,0.560972918236315,0.9763729236715833,True,1.041491921364207,2.049100004342108e-05
0.7310032158885118,16.623389650707317,82.21852032822943,121934.3307112401,59.726850885271205,2.7005540413833176,0.04355051040143223,0.9965816208408225,0.9664894555702563,True,2.2022632309629064,1.7058000025826914e-05
0.2897062948658309,17.823053472340334,5.6420086088163695,53412.6645840787,23.44938231464922,5.851398783054989,0.22542981294539066,0.9667090801170076,0.9345171226259452,True,5.368044242996485,2.7679000027092115e-05
